rx;tx;name;lon;norad_id
260175;294600;14° SICRAL1B;14.0;34810
260250;314400;25° SKYNET 5B;25.0;32294
260375;293975;75° UFO F11;75.0;28117
260425;294025;172° UFO F4;172.0;23467
260425;294025;-22° UFO F10;-22.0;25967
260450;297575;75° UFO F11;75.0;28117
260475;294075;75° UFO F11;75.0;28117
260500;317130;75° UFO F11;75.0;28117
260525;294125;-22° UFO F10;-22.0;25967
260525;294125;172° UFO F4;172.0;23467
260550;293800;75° UFO F11;75.0;28117
260575;294175;-29° UFO F7;-29.0;23967
260575;294175;172° UFO F4;172.0;23467
260625;294225;75° UFO F11;75.0;28117
260675;294275;-29° UFO F7;-29.0;23967
260675;294275;172° UFO F4;172.0;23467
260725;295350;75° UFO F11;75.0;28117
260900;313050;52° Skynet 5D;52.0;39034
261100;298380;95° Skynet 5A;95.0;30794
261200;294950;25° SKYNET 5B;25.0;32294
261400;316550;25° SKYNET 5B;25.0;32294
261575;295175;75° UFO F11;75.0;28117
261600;306975;72° Intelsat 22;72.0;38098
261625;295225;-22° UFO F10;-22.0;25967
261625;295225;172° UFO F4;172.0;23467
261650;309650;72° Intelsat 22;72.0;38098
261675;295275;75° UFO F11;75.0;28117
261700;296525;75° UFO F11;75.0;28117
261725;295325;-22° UFO F10;-22.0;25967
261725;295325;172° UFO F4;172.0;23467
261750;295400;72° Intelsat 22;72.0;38098
261775;307075;75° UFO F11;75.0;28117
261800;297600;72° Intelsat 22;72.0;38098
261825;295425;172° UFO F4;172.0;23467
261850;300275;72° Intelsat 22;72.0;38098
261875;295475;75° UFO F11;75.0;28117
261900;316625;72° Intelsat 22;72.0;38098
261925;295525;172° UFO F4;172.0;23467
261925;295525;-22° UFO F10;-22.0;25967
261950;294625;75° UFO F11;75.0;28117
261975;294000;75° UFO F11;75.0;28117
262000;314200;52° Skynet 5D;52.0;39034
262025;316650;72° Intelsat 22;72.0;38098
262075;295675;172° UFO F4;172.0;23467
262075;295675;-29° UFO F7;-29.0;23967
262175;295775;-29° UFO F7;-29.0;23967
262175;295775;172° UFO F4;172.0;23467
262275;295875;172° UFO F4;172.0;23467
262275;;-29° UFO F7;-29.0;23967
262300;295900;125° FltSatCom F8;125.0;20253
262375;295975;-29° UFO F7;-29.0;23967
262375;295975;172° UFO F4;172.0;23467
262950;310700;25° SKYNET 5B;25.0;32294
263050;312700;25° SKYNET 5B;25.0;32294
263400;316400;25° SKYNET 5B;25.0;32294
263450;311400;25° SKYNET 5B;25.0;32294
263500;315200;25° SKYNET 5B;25.0;32294
263575;297175;75° UFO F11;75.0;28117
263600;317140;75° UFO F11;75.0;28117
263625;297225;172° UFO F4;172.0;23467
263650;295075;-22° UFO F10;-22.0;25967
263675;297275;75° UFO F11;75.0;28117
263700;295125;-22° UFO F10;-22.0;25967
263725;297325;172° UFO F4;172.0;23467
263725;298525;75° UFO F11;75.0;28117
263750;317150;75° UFO F11;75.0;28117
263775;297375;172° UFO F4;172.0;23467
263775;297375;29° UFO F2;29.0;22787
263800;297250;75° UFO F11;75.0;28117
263825;297425;75° UFO F11;75.0;28117
263875;297475;29° UFO F2;29.0;22787
263875;297475;172° UFO F4;172.0;23467
263925;297525;75° UFO F11;75.0;28117
265250;306250;75° UFO F11;75.0;28117
265325;295100;75° UFO F11;75.0;28117
265350;306350;172° UFO F4;172.0;23467
265350;306350;-22° UFO F10;-22.0;25967
265375;295200;75° UFO F11;75.0;28117
265450;306450;172° UFO F4;172.0;23467
265450;306450;-22° UFO F10;-22.0;25967
265475;295500;75° UFO F11;75.0;28117
265550;306550;75° UFO F11;75.0;28117
265625;306625;172° UFO F4;172.0;23467
265675;306675;75° UFO F11;75.0;28117
265850;306850;75° UFO F11;75.0;28117
266300;315500;25° SKYNET 5B;25.0;32294
266750;316575;75° UFO F11;75.0;28117
266850;307850;-22° UFO F10;-22.0;25967
266850;307850;172° UFO F4;172.0;23467
266950;307950;172° UFO F4;172.0;23467
266950;307950;-29° UFO F7;-29.0;23967
266975;297500;75° UFO F11;75.0;28117
267025;297350;75° UFO F11;75.0;28117
267100;308100;41° SICRAL 2;41.0;40614
267150;308150;41° SICRAL 2;41.0;40614
267200;308200;41° SICRAL 2;41.0;40614
267225;308050;75° UFO F11;75.0;28117
267250;308250;41° SICRAL 2;41.0;40614
267400;294900;75° UFO F11;75.0;28117
267550;297125;172° UFO F4;172.0;23467
267575;297625;75° UFO F11;75.0;28117
267875;310525;14° SICRAL1B;14.0;34810
267950;310075;14° SICRAL1B;14.0;34810
